[2024-01-04 13:27:31,686] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers Set() for 0 partitions (state.change.logger)
[2024-01-04 13:39:30,534] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers Set(0) for 0 partitions (state.change.logger)
[2024-01-04 13:39:30,876] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2024-01-04 13:39:30,880] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers Set(0) for 51 partitions (state.change.logger)
[2024-01-04 13:39:30,947] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-01-04 13:39:31,186] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 51 partitions (state.change.logger)
[2024-01-04 13:39:31,304] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,354] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,354] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,378] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,396] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,428] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,446] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,489] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,500] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,513] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,514] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
